,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
0,951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654.0,0.0,0.0,1510.0,125.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.0,123.0,0.0,0.0,0.0,0.0,1915.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461.0,0.0,1689.0,313.0,0.0,149.0,392.0,0.0,163.0,10078.0
1,1416.0,64.0,220.0,142.0,47.0,4.0,164.0,179.0,227.0,123.0,25.0,363.0,26.0,10.0,21.0,554.0,220.0,26.0,25.0,25.0,152.0,7.0,625.0,669.0,57.0,13.0,3.0,24.0,18.0,10.0,21.0,441.0,42.0,3.0,27.0,6.0,4.0,0.0,12.0,8.0,126.0,194.0,15.0,540.0,11.0,6.0,32.0,373.0,16.0,3.0,2.0,1.0,9.0,2.0,51.0,33.0,24.0,21.0,0.0,12.0,11.0,10.0,37.0,256.0,259.0,35.0,44.0,17.0,19.0,1.0,26.0,17.0,30.0,27.0,3.0,24.0,2.0,3.0,2.0,10.0,20.0,0.0,1.0,1.0,22.0,1.0,28.0,25.0,0.0,3.0,0.0,1.0,3.0,1.0,0.0,15.0,149.0,2.0,21.0,15.0,16.0,2.0,8.0,11.0,536.0,949.0,23.0,524.0,59.0,41.0,35.0,236.0,20.0,1.0,6.0,1.0,15.0,0.0,36.0,27.0,32.0,13.0,1.0,8.0,36.0,28.0,17.0,139.0,68.0,11.0,26.0,22.0,8.0,0.0,8.0,10.0,29.0,14.0,4.0,38.0,1.0,1.0,1.0,29.0,187.0,23.0,35.0,45.0,233.0,9.0,909.0,699.0,27.0,10.0,4.0,23.0,15.0,15.0,21.0,294.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,6.0,10.0,3.0,34.0,3.0,1.0,3.0,13.0,14.0,1.0,2.0,1.0,11.0,0.0,38.0,23.0,21.0,10.0,1.0,25.0,16.0,25.0,27.0,334.0,184.0,23.0,30.0,13.0,7.0,1.0,17.0,16.0,45.0,41.0,4.0,17.0,6.0,0.0,3.0,24.0,573.0,38.0,25.0,29.0,651.0,27.0,526.0,273.0,35.0,27.0,1.0,23.0,13.0,22.0,17.0,144.0,254.0,12.0,25.0,10.0,10.0,0.0,14.0,28.0,709.0,631.0,13.0,273.0,47.0,21.0,26.0,289.0,732.0,31.0,25.0,28.0,560.0,21.0,337.0,273.0,667.0,287.0,20.0,166.0,335.0,362.0,187.0,1446.0
2,1098.0,15.0,241.0,14.0,14.0,2.0,16.0,24.0,300.0,17.0,6.0,1069.0,42.0,4.0,9.0,346.0,287.0,46.0,2.0,7.0,15.0,1.0,895.0,267.0,210.0,31.0,1.0,20.0,30.0,0.0,23.0,1309.0,19.0,5.0,34.0,3.0,3.0,0.0,0.0,3.0,14.0,25.0,4.0,274.0,6.0,2.0,7.0,55.0,59.0,17.0,3.0,3.0,0.0,0.0,139.0,36.0,27.0,31.0,0.0,1.0,0.0,3.0,25.0,528.0,208.0,30.0,96.0,23.0,41.0,9.0,19.0,30.0,7.0,4.0,0.0,15.0,1.0,0.0,0.0,3.0,9.0,1.0,0.0,1.0,5.0,2.0,18.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,9.0,15.0,1.0,26.0,0.0,5.0,1.0,0.0,0.0,903.0,193.0,12.0,972.0,134.0,20.0,45.0,581.0,11.0,4.0,3.0,4.0,1.0,3.0,33.0,8.0,33.0,6.0,1.0,19.0,21.0,9.0,5.0,212.0,20.0,1.0,33.0,2.0,5.0,1.0,3.0,5.0,41.0,7.0,0.0,127.0,14.0,2.0,3.0,31.0,15.0,2.0,3.0,2.0,14.0,2.0,217.0,42.0,38.0,3.0,0.0,31.0,34.0,0.0,2.0,446.0,8.0,1.0,11.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,22.0,0.0,0.0,1.0,8.0,2.0,1.0,2.0,0.0,1.0,1.0,24.0,5.0,3.0,2.0,2.0,9.0,2.0,3.0,2.0,81.0,26.0,5.0,25.0,2.0,2.0,0.0,2.0,3.0,11.0,3.0,1.0,27.0,2.0,0.0,1.0,14.0,858.0,128.0,23.0,27.0,200.0,19.0,786.0,545.0,35.0,24.0,1.0,4.0,3.0,4.0,7.0,211.0,29.0,4.0,27.0,4.0,5.0,1.0,1.0,12.0,305.0,56.0,4.0,562.0,35.0,2.0,9.0,137.0,259.0,32.0,3.0,12.0,41.0,3.0,524.0,147.0,1193.0,418.0,17.0,200.0,374.0,76.0,211.0,5044.0
3,1600.0,74.0,163.0,146.0,90.0,13.0,139.0,293.0,349.0,166.0,27.0,358.0,52.0,16.0,41.0,738.0,471.0,60.0,23.0,61.0,213.0,13.0,423.0,1158.0,177.0,24.0,7.0,34.0,39.0,20.0,45.0,773.0,65.0,11.0,12.0,12.0,10.0,0.0,15.0,18.0,119.0,204.0,23.0,432.0,17.0,7.0,23.0,379.0,54.0,5.0,2.0,6.0,6.0,3.0,28.0,70.0,33.0,13.0,2.0,17.0,12.0,17.0,22.0,231.0,155.0,15.0,29.0,18.0,10.0,2.0,16.0,26.0,19.0,22.0,4.0,21.0,2.0,4.0,1.0,27.0,34.0,1.0,7.0,0.0,31.0,2.0,22.0,18.0,7.0,1.0,0.0,4.0,2.0,0.0,2.0,21.0,124.0,12.0,17.0,17.0,13.0,2.0,12.0,23.0,392.0,456.0,20.0,364.0,32.0,27.0,13.0,233.0,42.0,5.0,0.0,6.0,19.0,4.0,26.0,65.0,32.0,12.0,2.0,14.0,23.0,14.0,19.0,165.0,93.0,12.0,19.0,15.0,9.0,1.0,12.0,30.0,44.0,16.0,6.0,29.0,8.0,2.0,6.0,62.0,180.0,12.0,19.0,32.0,201.0,16.0,499.0,484.0,49.0,8.0,3.0,10.0,18.0,10.0,25.0,234.0,8.0,2.0,2.0,1.0,4.0,0.0,1.0,2.0,18.0,10.0,1.0,17.0,2.0,2.0,0.0,20.0,21.0,3.0,4.0,3.0,7.0,1.0,34.0,43.0,21.0,12.0,1.0,20.0,18.0,32.0,24.0,216.0,149.0,14.0,20.0,8.0,18.0,3.0,20.0,25.0,64.0,32.0,6.0,13.0,6.0,3.0,5.0,34.0,379.0,30.0,34.0,24.0,518.0,32.0,412.0,258.0,40.0,18.0,6.0,17.0,18.0,26.0,19.0,162.0,327.0,18.0,17.0,18.0,16.0,7.0,18.0,61.0,1171.0,445.0,17.0,196.0,75.0,32.0,51.0,386.0,881.0,40.0,19.0,42.0,364.0,39.0,262.0,521.0,735.0,208.0,14.0,120.0,216.0,229.0,159.0,1367.0
4,1859.0,122.0,249.0,206.0,90.0,14.0,181.0,264.0,315.0,222.0,46.0,444.0,50.0,25.0,52.0,695.0,328.0,45.0,46.0,60.0,200.0,16.0,438.0,765.0,53.0,25.0,5.0,30.0,28.0,22.0,24.0,380.0,111.0,17.0,25.0,22.0,11.0,4.0,22.0,22.0,165.0,313.0,50.0,641.0,22.0,22.0,48.0,431.0,32.0,4.0,5.0,8.0,28.0,3.0,44.0,49.0,29.0,19.0,5.0,23.0,27.0,28.0,24.0,276.0,225.0,38.0,38.0,22.0,31.0,6.0,26.0,23.0,48.0,49.0,2.0,27.0,7.0,11.0,2.0,22.0,23.0,3.0,4.0,1.0,29.0,4.0,19.0,21.0,2.0,6.0,0.0,3.0,8.0,3.0,3.0,21.0,168.0,22.0,32.0,17.0,24.0,2.0,20.0,32.0,366.0,645.0,25.0,412.0,46.0,45.0,33.0,284.0,50.0,13.0,9.0,8.0,41.0,4.0,49.0,52.0,31.0,16.0,4.0,26.0,24.0,47.0,29.0,189.0,135.0,18.0,37.0,17.0,14.0,2.0,16.0,25.0,34.0,28.0,4.0,49.0,8.0,2.0,8.0,63.0,235.0,28.0,59.0,51.0,233.0,18.0,536.0,440.0,43.0,27.0,4.0,23.0,13.0,15.0,20.0,256.0,12.0,2.0,11.0,4.0,2.0,0.0,1.0,1.0,16.0,20.0,2.0,59.0,1.0,1.0,1.0,31.0,19.0,1.0,9.0,5.0,13.0,6.0,53.0,48.0,22.0,26.0,6.0,42.0,18.0,32.0,51.0,306.0,173.0,27.0,26.0,22.0,21.0,2.0,24.0,25.0,68.0,50.0,3.0,39.0,5.0,5.0,11.0,43.0,353.0,44.0,20.0,35.0,441.0,37.0,282.0,248.0,35.0,30.0,3.0,26.0,12.0,50.0,18.0,169.0,252.0,12.0,15.0,19.0,19.0,3.0,22.0,47.0,601.0,345.0,21.0,193.0,73.0,36.0,54.0,374.0,563.0,53.0,25.0,49.0,320.0,37.0,267.0,398.0,343.0,195.0,19.0,157.0,216.0,276.0,178.0,1468.0
